hostgroup	schemaname	username	client_address	digest	digest_text	count_star	first_seen	last_seen	sum_time	min_time	max_time	sum_rows_affected	sum_rows_sent
10	dmall_idb	myadmin		0x1D128A65AF3C44FD	SELECT `mongo_cluster_meta_app`.`id`, `mongo_cluster_meta_app`.`app_id`, `mongo_cluster_meta_app`.`project_code`, `mongo_cluster_meta_app`.`module_code` FROM `mongo_cluster_meta_app`	1	1613615715	1613615715	2011	2011	2011	0	33
10	information_schema	mydata		0xDA0E433A9E6D6C9E	SELECT `tables` FROM `mydata`.`pma__recent` WHERE `username` = ?	1	1613614582	1613614582	1808	1808	1808	0	1
10	information_schema	mydata		0x2BF355C9205A7559	SELECT `tables` FROM `mydata`.`pma__favorite` WHERE `username` = ?	1	1613614582	1613614582	3475	3475	3475	0	1
10	dmall_idb	myadmin		0xCAB891CF70DAD6F4	SELECT COUNT(*) AS `__count` FROM `db_backup_status` WHERE (`db_backup_status`.`st_time` BETWEEN ? AND ? AND (NOT (`db_backup_status`.`b_stat` = ?) OR NOT (`db_backup_status`.`t_stat` = ?)))	1	1613614480	1613614480	3637	3637	3637	0	1
10	dmall_idb	myadmin		0xCF2BFDC0FA5BB952	SELECT `db_backup_status`.`id`, `db_backup_status`.`host_ip`, `db_backup_status`.`host_port`, `db_backup_status`.`st_time`, `db_backup_status`.`en_time`, `db_backup_status`.`b_stat`, `db_backup_status`.`b_fname`, `db_backup_status`.`b_fsize`, `db_backup_status`.`b_host`, `db_backup_status`.`t_stat`, `db_backup_status`.`b_dir`, `db_backup_status`.`b_type`, `db_backup_status`.`h_fsize` FROM `db_backup_status` WHERE `db_backup_status`.`st_time` BETWEEN ? AND ?	1	1613614480	1613614480	4780	4780	4780	0	844
10	admin_idb	admin_idb		0x7D4BE2F578E2378E	UPDATE `procedure_mysqlprocess` SET `created` = ?, `modified` = ?, `is_deleted` = ?, `description` = ?, `parent_id` = NULL, `title` = ?, `category` = ?, `host` = ?, `port` = ?, `db_name` = ?, `table_name` = NULL, `sql_content` = ?, `inception` = ?, `create_user_id` = ?, `assignee_user_id` = ?, `status` = ?, `audit_result` = ?, `execute_datetime` = ?, `zone_info` = NULL, `execute_result` = ?, `workflow_info` = ?	1	1613614253	1613614253	7168	7168	7168	1	0
10	dmall_idb	myadmin		0x0154861E41A92B81	SELECT `cluster`.`id`, `cluster`.`app_id`, `cluster`.`role_id`, `cluster`.`description`, `cluster`.`sharded`, `cluster`.`status`, `cluster`.`dns_name`, `cluster`.`port`, `cluster`.`dev_owner`, `cluster`.`dev_owner_id`, `cluster`.`db_level`, `cluster`.`is_mgr`, `cluster`.`is_disaster`, `cluster`.`db_name`, `cluster`.`created`, `cluster`.`modified` FROM `cluster` WHERE `cluster`.`app_id` IN (?, ?, ?, ?, ?, ?)	1	1613614068	1613614068	1929	1929	1929	0	6
10	dmall_idb	myadmin		0x290ECA9D627AA0ED	SELECT `cluster_meta_app`.`id`, `cluster_meta_app`.`app_id`, `cluster_meta_app`.`project_code`, `cluster_meta_app`.`module_code`, `cluster_meta_app`.`app_name` FROM `cluster_meta_app`	1	1613614068	1613614068	2574	2574	2574	0	1257
10	admin_idb	admin_idb		0x69D532CBD5C3C381	UPDATE `maintenance_mysqlrestorerecord` SET `handle_user_id` = ?, `target_host` = ?, `target_port` = ?, `memory` = ?, `restore_file` = ?, `status` = ?, `log_content` = ?, `is_slave` = ?, `is_delay` = ?, `delay_time` = ?, `delay_dns` = ?, `task_id` = ?, `created` = ?, `modified` = ? WHERE `maintenance_mysqlrestorerecord`.`id` = ?	2	1613614018	1613614089	8348	4160	4188	2	0
10	admin_idb	admin_idb		0x3AC62871AD9C88ED	SELECT `maintenance_mysqlrestorerecord`.`id`, `maintenance_mysqlrestorerecord`.`handle_user_id`, `maintenance_mysqlrestorerecord`.`target_host`, `maintenance_mysqlrestorerecord`.`target_port`, `maintenance_mysqlrestorerecord`.`memory`, `maintenance_mysqlrestorerecord`.`restore_file`, `maintenance_mysqlrestorerecord`.`status`, `maintenance_mysqlrestorerecord`.`log_content`, `maintenance_mysqlrestorerecord`.`is_slave`, `maintenance_mysqlrestorerecord`.`is_delay`, `maintenance_mysqlrestorerecord`.`delay_time`, `maintenance_mysqlrestorerecord`.`delay_dns`, `maintenance_mysqlrestorerecord`.`task_id`, `maintenance_mysqlrestorerecord`.`created`, `maintenance_mysqlrestorerecord`.`modified` FROM `maintenance_mysqlrestorerecord` WHERE `maintenance_mysqlrestorerecord`.`id` = ?	2	1613614017	1613614088	4061	1965	2096	0	2
10	dmall_idb	myadmin		0xABC532565605AE21	SELECT `cluster`.`id`, `cluster`.`app_id`, `cluster`.`role_id`, `cluster`.`description`, `cluster`.`sharded`, `cluster`.`status`, `cluster`.`dns_name`, `cluster`.`port`, `cluster`.`dev_owner`, `cluster`.`dev_owner_id`, `cluster`.`db_level`, `cluster`.`is_mgr`, `cluster`.`is_disaster`, `cluster`.`db_name`, `cluster`.`created`, `cluster`.`modified` FROM `cluster` WHERE (`cluster`.`description` LIKE ? OR `cluster`.`app_id` IN (SELECT V0.`app_id` AS Col1 FROM `cluster_meta_app` V0 WHERE (V0.`module_code` = ? OR V0.`project_code` IN (SELECT U0.`project_code` AS Col1 FROM `meta_project` U0 WHERE (U0.`project_code` = ? OR U0.`project_name` = ?)))) OR `cluster`.`dns_name` LIKE BINARY ?) ORDER BY `cluster`.`db_level` ASC LIMIT ?	1	1613614014	1613614014	4270	4270	4270	0	10
10	admin_idb	admin_idb		0x9AADB7E4C3016FD1	SELECT `maintenance_mysqlrestorerecord`.`id`, `maintenance_mysqlrestorerecord`.`handle_user_id`, `maintenance_mysqlrestorerecord`.`target_host`, `maintenance_mysqlrestorerecord`.`target_port`, `maintenance_mysqlrestorerecord`.`memory`, `maintenance_mysqlrestorerecord`.`restore_file`, `maintenance_mysqlrestorerecord`.`status`, `maintenance_mysqlrestorerecord`.`log_content`, `maintenance_mysqlrestorerecord`.`is_slave`, `maintenance_mysqlrestorerecord`.`is_delay`, `maintenance_mysqlrestorerecord`.`delay_time`, `maintenance_mysqlrestorerecord`.`delay_dns`, `maintenance_mysqlrestorerecord`.`task_id`, `maintenance_mysqlrestorerecord`.`created`, `maintenance_mysqlrestorerecord`.`modified` FROM `maintenance_mysqlrestorerecord` LEFT OUTER JOIN `user_user` ON (`maintenance_mysqlrestorerecord`.`handle_user_id` = `user_user`.`id`) WHERE (`user_user`.`username` LIKE ? OR `maintenance_mysqlrestorerecord`.`restore_file` LIKE ? OR `maintenance_mysqlrestorerecord`.`target_host` LIKE ? OR `maintenance_mysqlrestorerecord`.`target_port` LIKE ?) ORDER BY `maintenance_mysqlrestorerecord`.`created` DESC LIMIT ?	2	1613613999	1613614074	9696	4684	5012	0	20
